hemi,roi,trial_type,run,response,subject_label
r,MT,ind,4.0,2.2557186665763544,sub-03
r,MT,interact,1.5,2.4191212882804822,sub-03
r,MT,noninteract,1.5,2.457114839787601,sub-03
r,MT,object,4.0,2.756164536370957,sub-03
r,MT,photo,0.5,0.478324017748483,sub-03
r,MT,phy,4.0,2.681841538386305,sub-03
r,SI-STS,belief,0.5,0.2447862250243999,sub-03
r,SI-STS,body,1.5,-0.1574556949890496,sub-03
r,SI-STS,com_ind,1.5,0.5724687806446129,sub-03
r,SI-STS,com_phy,1.5,0.4744851188138399,sub-03
r,SI-STS,face_first,1.5,0.2666784593698932,sub-03
r,SI-STS,face_noncom,1.5,-0.1772212524612919,sub-03
r,SI-STS,face_third,1.5,0.1713323929470805,sub-03
r,SI-STS,ind,1.5,0.0537834272052941,sub-03
r,SI-STS,interact,1.5,0.4005882539413481,sub-03
r,SI-STS,noninteract,1.5,0.1996049522639646,sub-03
r,SI-STS,object,1.5,-0.2092299903035876,sub-03
r,SI-STS,photo,0.5,0.0131324803736208,sub-03
r,SI-STS,phy,1.5,-0.2600693639884293,sub-03
r,TPJ,belief,0.5,0.805982199981035,sub-03
r,TPJ,body,0.5,-0.6270043564220511,sub-03
r,TPJ,com_ind,0.5,0.0139088517230914,sub-03
r,TPJ,com_phy,0.5,0.1006967399219655,sub-03
r,TPJ,face_first,0.5,-0.0137648639790068,sub-03
r,TPJ,face_noncom,0.5,-0.3626921035684892,sub-03
r,TPJ,face_third,0.5,-0.038155548004163,sub-03
r,TPJ,ind,0.5,-0.3555929543437736,sub-03
r,TPJ,interact,0.5,0.3120636486796252,sub-03
r,TPJ,noninteract,0.5,0.0976213799180162,sub-03
r,TPJ,object,0.5,-0.4763212040985684,sub-03
r,TPJ,photo,0.5,-0.1178625940722616,sub-03
r,TPJ,phy,0.5,-0.2506584125969985,sub-03
r,fSTS,belief,0.5,0.2446515568667071,sub-03
r,fSTS,body,4.0,0.0765178009090926,sub-03
r,fSTS,com_ind,4.0,0.5760420157400804,sub-03
r,fSTS,com_phy,4.0,0.6075188100645066,sub-03
r,fSTS,face_first,4.0,0.4751198610674419,sub-03
r,fSTS,face_noncom,4.0,0.1154319426451435,sub-03
r,fSTS,face_third,4.0,0.368544779057032,sub-03
r,fSTS,ind,4.0,0.3308192931651905,sub-03
r,fSTS,interact,1.5,0.5002082989074403,sub-03
r,fSTS,noninteract,1.5,0.3503998373698645,sub-03
r,fSTS,object,4.0,-0.0325955768791317,sub-03
