subject,roi,hemi,n_voxels,pair,cond1,cond2,r_w1_reliability,r_w2_reliability,r_b_between,within_decoding_index
4,EVC,r,263,dyad,com_ind,ind,0.9630489409253722,0.9654360617409848,0.9659806925877444,-0.0017381912545657
4,EVC,r,263,face,face_first,face_noncom,0.9569210521298468,0.940862836019313,0.9423044879571878,0.0065874561173919
4,MT,r,165,dyad,com_ind,ind,0.8831125867960032,0.9089357794395496,0.9166210798389444,-0.020596896721168
4,MT,r,165,face,face_first,face_noncom,0.847670261854564,0.9521043740827422,0.5288208548420003,0.3710664631266528
5,SI-STS,l,184,dyad,com_ind,ind,0.9783815997985884,0.9190265007261322,0.921160908381443,0.0275431418809173
5,SI-STS,l,184,face,face_first,face_noncom,0.9653637447633096,0.8661228043699349,0.8938663291454727,0.0218769454211495
5,TPJ,l,297,dyad,com_ind,ind,0.631887547294554,0.6557787054640962,0.6163048531572279,0.0275282732220971
5,TPJ,l,297,face,face_first,face_noncom,0.5990529644062057,0.3926668451918416,0.387245068706562,0.1086148360924615
5,fSTS,l,23,dyad,com_ind,ind,0.982610375610244,0.9272855559042736,0.9347134757407404,0.0202344900165184
5,fSTS,l,23,face,face_first,face_noncom,0.989767136300872,0.8805427222953514,0.9184077272016248,0.016747202096487
5,FFA,l,106,dyad,com_ind,ind,0.9046288448674836,0.950797736068616,0.909055085701117,0.0186582047669328
5,FFA,l,106,face,face_first,face_noncom,0.9620731760436466,0.920059246804014,0.9332393257979372,0.007826885625893
5,EBA,l,114,dyad,com_ind,ind,0.9147034701164148,0.8345086164205333,0.8585814053691643,0.0160246378993098
5,EBA,l,114,face,face_first,face_noncom,0.6085611818560904,0.9439310709850806,-0.0707230299492619,0.8469691563698475
5,EVC,l,249,dyad,com_ind,ind,0.9419198651178846,0.9278466002643428,0.9327791900116632,0.0021040426794505
5,EVC,l,249,face,face_first,face_noncom,0.8904890197385069,0.93793242317608,0.9123684270256558,0.0018422944316376
5,MT,l,164,dyad,com_ind,ind,0.8949871823500088,0.8347430664859945,0.8650788212547076,-0.0002136968367059
5,MT,l,164,face,face_first,face_noncom,0.8840403722395201,0.7289665154565269,0.7499079924451504,0.0565954514028731
5,SI-STS,r,172,dyad,com_ind,ind,0.8820392278998335,0.8458281468611069,0.8313243377145183,0.0326093496659518
5,SI-STS,r,172,face,face_first,face_noncom,0.8849587045043033,0.6728789552613443,0.7000952362581853,0.0788235936246385
5,TPJ,r,305,dyad,com_ind,ind,0.6003619006419756,0.713998724702702,0.5660213234554591,0.0911589892168797
5,TPJ,r,305,face,face_first,face_noncom,0.1203614452155604,0.523125984578777,0.6084442273522279,-0.2867005124550592
5,fSTS,r,91,dyad,com_ind,ind,0.9786129127551138,0.9569359679947336,0.9241412993966812,0.0436331409782425
